Integrated_Pathway,Gene,Source_Sub_Pathway
General Cytokine Network,AZI2,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,AZU1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,B2M,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION/GOBP_T_CELL_CYTOKINE_PRODUCTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,B3GNT2,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BABAM2,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,BAD,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BAG4,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BAMBI,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,BANF1,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,BANK1,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,BAP1,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE
General Cytokine Network,BATF,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BBS2,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BBS4,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BCAT2,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BCL10,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_MAST_CELL_CYTOKINE_PRODUCTION/GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,BCL2,GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BCL2L1,GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BCL2L11,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BCL3,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,BCL6,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_MAST_CELL_CYTOKINE_PRODUCTION/GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BCL6B,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BCLAF1,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BDNF,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,BECN1,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BEX3,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,BGLAP,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BGN,GOMF_CYTOKINE_BINDING
General Cytokine Network,BID,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,BIRC2,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BIRC3,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BIRC5,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BIRC7,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BLNK,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BMP1,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP10,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP15,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP2,GOMF_CYTOKINE_ACTIVITY/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,BMP3,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP4,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP5,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP6,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP7,GOMF_CYTOKINE_ACTIVITY/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,BMP8A,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMP8B,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,BMPR1A,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOMF_CYTOKINE_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,BMPR1B,GOMF_CYTOKINE_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,BMPR2,GOMF_CYTOKINE_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,BOLA2,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BOLA2B,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BPI,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,BRCA1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BRWD1,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BSPRY,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,BST2,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_DENDRITIC_CELL_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,BTK,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_RESPONSE_TO_CYTOKINE/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,BTN1A1,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTN2A1,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTN2A2,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,BTN2A3P,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTN3A1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,BTN3A2,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,BTN3A3,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTNL10P,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTNL2,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTNL3,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTNL8,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTNL9,GOBP_CYTOKINE_PRODUCTION
General Cytokine Network,BTRC,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,C17orf99,GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,C1QBP,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,C1QTNF3,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,C1QTNF4,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOMF_CYTOKINE_ACTIVITY
General Cytokine Network,C3,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,C3AR1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,C5,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,C5AR1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,C5AR2,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,CA1,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CACNB4,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CACTIN,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,CACYBP,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CADM1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,CADM4,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,CALCA,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CALCOCO2,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CALM1,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CAMK2A,GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CAMK2B,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CAMK2D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CAMK2G,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CAMK4,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_DENDRITIC_CELL_CYTOKINE_PRODUCTION/GOBP_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION/GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
General Cytokine Network,CAMP,GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CANX,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CAPN2,GOBP_CYTOKINE_PRODUCTION/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CAPZA1,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CARD11,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,CARD14,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CARD16,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CARD17P,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,CARD18,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,CARD8,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CARD9,GOBP_CYTOKINE_PRODUCTION/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE/GOBP_MACROPHAGE_CYTOKINE_PRODUCTION/GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE/GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE/GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
General Cytokine Network,CASP1,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_BINDING/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CASP3,GOBP_CYTOKINE_PRODUCTION/GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_RECEPTOR_BINDING/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CASP4,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CASP8,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_RECEPTOR_BINDING/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CASP8AP2,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,CAV1,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CBL,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CCBE1,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,CCDC3,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS/GOBP_RESPONSE_TO_CYTOKINE
General Cytokine Network,CCDC88A,GOMF_CYTOKINE_RECEPTOR_BINDING
General Cytokine Network,CCDC88B,GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
General Cytokine Network,CCL1,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL11,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CCL13,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL14,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL15,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL16,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL17,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL18,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL19,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION/GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOBP_RESPONSE_TO_CYTOKINE/GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CCL2,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CCL20,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CCL21,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL22,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
General Cytokine Network,CCL23,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
General Cytokine Network,CCL24,GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY/GOBP_RESPONSE_TO_CYTOKINE/GOMF_CYTOKINE_ACTIVITY/GOMF_CYTOKINE_RECEPTOR_BINDING/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
