Integrated_Pathway,Gene,Source_Sub_Pathway
Cellular Senescence,WNT16,GOBP_CELLULAR_SENESCENCE
Cellular Senescence,WRN,GOBP_CELLULAR_SENESCENCE
Cellular Senescence,YBX1,GOBP_CELLULAR_SENESCENCE / GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE / GOBP_REGULATION_OF_CELLULAR_SENESCENCE
Cellular Senescence,YPEL3,GOBP_CELLULAR_SENESCENCE / GOBP_POSITIVE_REGULATION_OF_CELLULAR_SENESCENCE / GOBP_REGULATION_OF_CELLULAR_SENESCENCE
Cellular Senescence,ZKSCAN3,GOBP_CELLULAR_SENESCENCE / GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE / GOBP_REGULATION_OF_CELLULAR_SENESCENCE
Cellular Senescence,ZMIZ1,GOBP_CELLULAR_SENESCENCE
Cellular Senescence,ZMPSTE24,GOBP_CELLULAR_SENESCENCE / GOBP_REGULATION_OF_CELLULAR_SENESCENCE
Cellular Senescence,ZNF277,GOBP_CELLULAR_SENESCENCE / GOBP_REGULATION_OF_CELLULAR_SENESCENCE
ER Stress-induced Apoptosis,APP,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,ERN1,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,MAP2K7,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,MAP3K5,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,MAPK10,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,MAPK8,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,MAPK9,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_IRE1A_JNK_SIGNALING_PATHWAY
ER Stress-induced Apoptosis,TRAF2,KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY
Extrinsic Apoptosis,APPL1,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,CASP10,REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,CASP3,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,CASP8,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,CASP9,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,CD14,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,CFLAR,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,DAPK1,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,DAPK2,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,DAPK3,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,DCC,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,FADD,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,FAS,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,FASLG,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,LY96,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,MAGED1,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,RIPK1,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,TICAM1,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,TICAM2,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,TLR4,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,TNF,REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,TNFRSF10A,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,TNFRSF10B,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,TNFRSF1A,REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,TNFSF10,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,TRADD,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,TRAF2,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY / REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS
Extrinsic Apoptosis,UNC5A,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
Extrinsic Apoptosis,UNC5B,REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY
FAS Death Signaling,CASP10,GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX / REACTOME_FASL_CD95L_SIGNALING / REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,CASP8,GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX / REACTOME_FASL_CD95L_SIGNALING / REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,CASP8AP2,GOBP_FAS_SIGNALING_PATHWAY
FAS Death Signaling,CFLAR,GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX
FAS Death Signaling,CHUK,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,DAXX,KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_DJ1_TO_FAS_JNK_SIGNALING_PATWHAY
FAS Death Signaling,FADD,GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX / REACTOME_FASL_CD95L_SIGNALING / REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,FAF1,GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX
FAS Death Signaling,FAS,GOBP_FAS_SIGNALING_PATHWAY / GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX / KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / REACTOME_FASL_CD95L_SIGNALING
FAS Death Signaling,FASLG,KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / REACTOME_FASL_CD95L_SIGNALING
FAS Death Signaling,IFIH1,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,IKBKB,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,IKBKG,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,MAP3K5,KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_DJ1_TO_FAS_JNK_SIGNALING_PATWHAY
FAS Death Signaling,MAPK10,KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_DJ1_TO_FAS_JNK_SIGNALING_PATWHAY
FAS Death Signaling,MAPK8,KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_DJ1_TO_FAS_JNK_SIGNALING_PATWHAY
FAS Death Signaling,MAPK9,KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY / KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_DJ1_TO_FAS_JNK_SIGNALING_PATWHAY
FAS Death Signaling,MAVS,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,MIR23A,GOBP_FAS_SIGNALING_PATHWAY / GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY
FAS Death Signaling,MIR27A,GOBP_FAS_SIGNALING_PATHWAY / GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY
FAS Death Signaling,PARK7,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_DJ1_TO_FAS_JNK_SIGNALING_PATWHAY
FAS Death Signaling,RIGI,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,RIPK1,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,RNF135,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,SMAD5,GOBP_FAS_SIGNALING_PATHWAY / GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY
FAS Death Signaling,SP100,GOBP_FAS_SIGNALING_PATHWAY / GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY
FAS Death Signaling,TMBIM1,GOBP_FAS_SIGNALING_PATHWAY / GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY
FAS Death Signaling,TRIM25,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,TRIM4,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10
FAS Death Signaling,TXN,KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY
FAS Death Signaling,ZDHHC7,GOBP_FAS_SIGNALING_PATHWAY / GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY
Ferroptosis,AIFM2,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,FTH1,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,GPX4,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,HMOX1,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,NFE2L2,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,NQO1,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,SLC39A7,GOBP_FERROPTOSIS
Ferroptosis,SLC7A11,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,SQSTM1,GOBP_FERROPTOSIS / GOBP_NEGATIVE_REGULATION_OF_FERROPTOSIS
Ferroptosis,TMEM164,GOBP_FERROPTOSIS
General Apoptosis,ACIN1,REACTOME_APOPTOSIS
General Apoptosis,ADD1,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,AIFM1,KEGG_APOPTOSIS
General Apoptosis,AIFM3,HALLMARK_APOPTOSIS
General Apoptosis,AKT1,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,AKT2,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,AKT3,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,ANKH,HALLMARK_APOPTOSIS
General Apoptosis,ANXA1,HALLMARK_APOPTOSIS
General Apoptosis,APAF1,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,APC,REACTOME_APOPTOSIS
General Apoptosis,APIP,REACTOME_APOPTOSIS
General Apoptosis,APP,HALLMARK_APOPTOSIS
General Apoptosis,APPL1,REACTOME_APOPTOSIS
General Apoptosis,ARHGAP10,REACTOME_APOPTOSIS / REACTOME_REGULATION_OF_APOPTOSIS
General Apoptosis,ATF3,HALLMARK_APOPTOSIS
General Apoptosis,ATM,KEGG_APOPTOSIS
General Apoptosis,AVEN,REACTOME_APOPTOSIS
General Apoptosis,AVPR1A,HALLMARK_APOPTOSIS
General Apoptosis,BAD,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BAK1,REACTOME_APOPTOSIS
General Apoptosis,BAX,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BBC3,REACTOME_APOPTOSIS
General Apoptosis,BCAP31,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BCL10,HALLMARK_APOPTOSIS
General Apoptosis,BCL2,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BCL2L1,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BCL2L10,HALLMARK_APOPTOSIS
General Apoptosis,BCL2L11,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BCL2L2,HALLMARK_APOPTOSIS
General Apoptosis,BGN,HALLMARK_APOPTOSIS
General Apoptosis,BID,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BIK,HALLMARK_APOPTOSIS
General Apoptosis,BIRC2,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BIRC3,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS
General Apoptosis,BMF,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,BMP2,HALLMARK_APOPTOSIS
General Apoptosis,BMX,REACTOME_APOPTOSIS
General Apoptosis,BNIP3L,HALLMARK_APOPTOSIS
General Apoptosis,BRCA1,HALLMARK_APOPTOSIS
General Apoptosis,BTG2,HALLMARK_APOPTOSIS
General Apoptosis,BTG3,HALLMARK_APOPTOSIS
General Apoptosis,C1QBP,REACTOME_APOPTOSIS
General Apoptosis,CAPN1,KEGG_APOPTOSIS
General Apoptosis,CAPN2,KEGG_APOPTOSIS
General Apoptosis,CARD8,REACTOME_APOPTOSIS
General Apoptosis,CASP1,HALLMARK_APOPTOSIS
General Apoptosis,CASP10,KEGG_APOPTOSIS
General Apoptosis,CASP2,HALLMARK_APOPTOSIS
General Apoptosis,CASP3,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CASP4,HALLMARK_APOPTOSIS
General Apoptosis,CASP6,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CASP7,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CASP8,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CASP9,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CAV1,HALLMARK_APOPTOSIS
General Apoptosis,CCNA1,HALLMARK_APOPTOSIS
General Apoptosis,CCND1,HALLMARK_APOPTOSIS
General Apoptosis,CCND2,HALLMARK_APOPTOSIS
General Apoptosis,CD14,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CD2,HALLMARK_APOPTOSIS
General Apoptosis,CD38,HALLMARK_APOPTOSIS
General Apoptosis,CD44,HALLMARK_APOPTOSIS
General Apoptosis,CD69,HALLMARK_APOPTOSIS
General Apoptosis,CDC25B,HALLMARK_APOPTOSIS
General Apoptosis,CDH1,REACTOME_APOPTOSIS
General Apoptosis,CDK2,HALLMARK_APOPTOSIS
General Apoptosis,CDKN1A,HALLMARK_APOPTOSIS
General Apoptosis,CDKN1B,HALLMARK_APOPTOSIS
General Apoptosis,CDKN2A,REACTOME_APOPTOSIS
General Apoptosis,CFLAR,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CHP1,KEGG_APOPTOSIS
General Apoptosis,CHP2,KEGG_APOPTOSIS
General Apoptosis,CHUK,KEGG_APOPTOSIS
General Apoptosis,CLSPN,REACTOME_APOPTOSIS
General Apoptosis,CLU,HALLMARK_APOPTOSIS
General Apoptosis,CREBBP,HALLMARK_APOPTOSIS
General Apoptosis,CSF2RB,KEGG_APOPTOSIS
General Apoptosis,CTH,HALLMARK_APOPTOSIS
General Apoptosis,CTNNB1,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CTSG,REACTOME_SUPPRESSION_OF_APOPTOSIS
General Apoptosis,CYCS,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,CYLD,HALLMARK_APOPTOSIS
General Apoptosis,DAP,HALLMARK_APOPTOSIS
General Apoptosis,DAP3,HALLMARK_APOPTOSIS
General Apoptosis,DAPK1,REACTOME_APOPTOSIS
General Apoptosis,DAPK2,REACTOME_APOPTOSIS
General Apoptosis,DAPK3,REACTOME_APOPTOSIS
General Apoptosis,DBNL,REACTOME_APOPTOSIS
General Apoptosis,DCC,REACTOME_APOPTOSIS
General Apoptosis,DCN,HALLMARK_APOPTOSIS
General Apoptosis,DDIT3,HALLMARK_APOPTOSIS
General Apoptosis,DFFA,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,DFFB,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,DIABLO,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,DNAJA1,HALLMARK_APOPTOSIS
General Apoptosis,DNAJC3,HALLMARK_APOPTOSIS
General Apoptosis,DNM1L,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,DPYD,HALLMARK_APOPTOSIS
General Apoptosis,DSG1,REACTOME_APOPTOSIS
General Apoptosis,DSG2,REACTOME_APOPTOSIS
General Apoptosis,DSG3,REACTOME_APOPTOSIS
General Apoptosis,DSP,REACTOME_APOPTOSIS
General Apoptosis,DYNLL1,REACTOME_APOPTOSIS
General Apoptosis,DYNLL2,REACTOME_APOPTOSIS
General Apoptosis,E2F1,REACTOME_APOPTOSIS
General Apoptosis,EBP,HALLMARK_APOPTOSIS
General Apoptosis,EGR3,HALLMARK_APOPTOSIS
General Apoptosis,EMP1,HALLMARK_APOPTOSIS
General Apoptosis,ENDOD1,KEGG_APOPTOSIS
General Apoptosis,ENDOG,KEGG_APOPTOSIS
General Apoptosis,ENO2,HALLMARK_APOPTOSIS
General Apoptosis,ERBB2,HALLMARK_APOPTOSIS
General Apoptosis,ERBB3,HALLMARK_APOPTOSIS
General Apoptosis,EREG,HALLMARK_APOPTOSIS
General Apoptosis,ETF1,HALLMARK_APOPTOSIS
General Apoptosis,EXOG,KEGG_APOPTOSIS
General Apoptosis,F2,HALLMARK_APOPTOSIS
General Apoptosis,F2R,HALLMARK_APOPTOSIS
General Apoptosis,FADD,KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,FAS,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,FASLG,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,FDXR,HALLMARK_APOPTOSIS
General Apoptosis,FEZ1,HALLMARK_APOPTOSIS
General Apoptosis,FNTA,REACTOME_APOPTOSIS
General Apoptosis,GADD45A,HALLMARK_APOPTOSIS
General Apoptosis,GADD45B,HALLMARK_APOPTOSIS
General Apoptosis,GAS2,REACTOME_APOPTOSIS
General Apoptosis,GCH1,HALLMARK_APOPTOSIS
General Apoptosis,GNA15,HALLMARK_APOPTOSIS
General Apoptosis,GPX1,HALLMARK_APOPTOSIS
General Apoptosis,GPX3,HALLMARK_APOPTOSIS
General Apoptosis,GPX4,HALLMARK_APOPTOSIS
General Apoptosis,GSDMD,REACTOME_APOPTOSIS
General Apoptosis,GSDME,REACTOME_APOPTOSIS
General Apoptosis,GSK3A,REACTOME_SUPPRESSION_OF_APOPTOSIS
General Apoptosis,GSN,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,GSR,HALLMARK_APOPTOSIS
General Apoptosis,GSTM1,HALLMARK_APOPTOSIS
General Apoptosis,GUCY2D,HALLMARK_APOPTOSIS
General Apoptosis,GZMB,REACTOME_APOPTOSIS
General Apoptosis,H1-0,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,H1-1,REACTOME_APOPTOSIS
General Apoptosis,H1-2,REACTOME_APOPTOSIS
General Apoptosis,H1-3,REACTOME_APOPTOSIS
General Apoptosis,H1-4,REACTOME_APOPTOSIS
General Apoptosis,H1-5,REACTOME_APOPTOSIS
General Apoptosis,HGF,HALLMARK_APOPTOSIS
General Apoptosis,HMGB1,REACTOME_APOPTOSIS
General Apoptosis,HMGB2,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,HMOX1,HALLMARK_APOPTOSIS
General Apoptosis,HSPB1,HALLMARK_APOPTOSIS
General Apoptosis,IER3,HALLMARK_APOPTOSIS
General Apoptosis,IFITM3,HALLMARK_APOPTOSIS
General Apoptosis,IFNB1,HALLMARK_APOPTOSIS
General Apoptosis,IFNGR1,HALLMARK_APOPTOSIS
General Apoptosis,IGF2R,HALLMARK_APOPTOSIS
General Apoptosis,IGFBP6,HALLMARK_APOPTOSIS
General Apoptosis,IKBKB,KEGG_APOPTOSIS
General Apoptosis,IKBKG,KEGG_APOPTOSIS
General Apoptosis,IL18,HALLMARK_APOPTOSIS
General Apoptosis,IL1A,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS
General Apoptosis,IL1B,HALLMARK_APOPTOSIS / KEGG_APOPTOSIS
General Apoptosis,IL1R1,KEGG_APOPTOSIS
General Apoptosis,IL1RAP,KEGG_APOPTOSIS
General Apoptosis,IL3,KEGG_APOPTOSIS
General Apoptosis,IL3RA,KEGG_APOPTOSIS
General Apoptosis,IL6,HALLMARK_APOPTOSIS
General Apoptosis,IRAK1,KEGG_APOPTOSIS
General Apoptosis,IRAK2,KEGG_APOPTOSIS
General Apoptosis,IRAK3,KEGG_APOPTOSIS
General Apoptosis,IRAK4,KEGG_APOPTOSIS
General Apoptosis,IRF1,HALLMARK_APOPTOSIS
General Apoptosis,ISG20,HALLMARK_APOPTOSIS
General Apoptosis,JUN,HALLMARK_APOPTOSIS
General Apoptosis,KPNA1,REACTOME_APOPTOSIS
General Apoptosis,KPNB1,REACTOME_APOPTOSIS
General Apoptosis,KRT18,HALLMARK_APOPTOSIS
General Apoptosis,LEF1,HALLMARK_APOPTOSIS
General Apoptosis,LGALS3,HALLMARK_APOPTOSIS
General Apoptosis,LMNA,HALLMARK_APOPTOSIS / REACTOME_APOPTOSIS
General Apoptosis,LMNB1,REACTOME_APOPTOSIS
General Apoptosis,LUM,HALLMARK_APOPTOSIS
General Apoptosis,LY96,REACTOME_APOPTOSIS
General Apoptosis,MADD,HALLMARK_APOPTOSIS
General Apoptosis,MAGED1,REACTOME_APOPTOSIS
General Apoptosis,MAP3K14,KEGG_APOPTOSIS
General Apoptosis,MAPK1,REACTOME_APOPTOSIS / REACTOME_SUPPRESSION_OF_APOPTOSIS
General Apoptosis,MAPK3,REACTOME_APOPTOSIS / REACTOME_SUPPRESSION_OF_APOPTOSIS
General Apoptosis,MAPK8,REACTOME_APOPTOSIS
General Apoptosis,MAPT,REACTOME_APOPTOSIS
General Apoptosis,MCL1,HALLMARK_APOPTOSIS
General Apoptosis,MGMT,HALLMARK_APOPTOSIS
General Apoptosis,MMP2,HALLMARK_APOPTOSIS
General Apoptosis,MYD88,KEGG_APOPTOSIS
General Apoptosis,NEDD9,HALLMARK_APOPTOSIS
General Apoptosis,NEFH,HALLMARK_APOPTOSIS
General Apoptosis,NFKB1,KEGG_APOPTOSIS
General Apoptosis,NFKBIA,KEGG_APOPTOSIS
General Apoptosis,NGF,KEGG_APOPTOSIS
